X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxx_WaypointExtension,wptx1_WaypointExtension,ctx_CreationTimeExtension
145.627360967919,-37.5568200275302,467.208771,2018/07/13 11:06:18+00,,,DRC02GGV,6862,6862,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-07-13T11:06:18Z</ctx:CreationTime>      
145.627704039216,-37.5566529762,480.549683,2018/07/13 11:15:43+00,,,DRC03GGV,6867,6867,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-07-13T11:15:43Z</ctx:CreationTime>      
145.625621974468,-37.5566490367055,486.677002,2018/07/13 11:35:23+00,,,DRC04GGV,6871,6871,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-07-13T11:35:23Z</ctx:CreationTime>      
146.054766029119,-37.657573018223,1025.149902,2018/02/23 14:04:14+00,,,DSS01GGV,6137,6137,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-02-23T14:04:14Z</ctx:CreationTime>      
146.055627018213,-37.6563179958612,1013.893677,2018/02/23 14:50:10+00,,,DSS02GGV,6143,6143,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-02-23T14:50:10Z</ctx:CreationTime>      
146.21444103308,-37.88454095833,445.616119,2018/05/26 07:52:00+00,,,EDC01GGV,,,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-05-26T07:52:00Z</ctx:CreationTime>      
146.214456036687,-37.8845660202205,455.872437,2018/05/26 07:53:31+00,,,EDC02GGV,,,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-05-26T07:53:31Z</ctx:CreationTime>      
146.214183038101,-37.8834900353104,433.504944,2018/05/26 08:31:07+00,,,EDC03GGV,6608,6608,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-05-26T08:31:07Z</ctx:CreationTime>      
146.212545968592,-37.884295033291,437.016968,2018/05/26 09:42:01+00,,,EDC04GGV,6615,6615,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-05-26T09:42:01Z</ctx:CreationTime>      
146.21574902907,-37.8858949709684,474.107697,2018/05/26 10:33:59+00,,,EDC06GGV,6619,6619,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-05-26T10:33:59Z</ctx:CreationTime>      
